fullname,city,longitude,latitude,yearspracticing,services_count,pharmadollars,score
ELIZABETH A. ABEL,MOUNTAIN VIEW,-122.08455,37.367268,47,11,279,2
KEVIN WONG,ORINDA,-122.18017,37.877674,18,39,377,4
SEYMOUR GREENSTEIN,PLEASANT HILL,-122.07244,37.962196,44,88,269,2
WILLIAM M. BUCHHOLZ,MOUNTAIN VIEW,-122.08619,37.38216,43,20,1758,7
NHAT V. MAI,SAN JOSE,-121.87732,37.342419,37,51,258,1
ABID MAJID,SAN PABLO,-122.33725,37.954269,24,686,370,4
NANCY J. BOHANNON,SAN FRANCISCO,-122.42031,37.747532,42,73,6402,9
PATRICIA M. BAUMAN,SAN RAFAEL,-122.54641,38.006828,30,27,393,4
ROSS A. PIRKLE,WALNUT CREEK,-122.04305,37.912754,20,29,332,3
CLAUDELL STEPHENS,PINOLE,-122.30193,37.995426,38,503,296,3
RICHARD A. PODOLIN,SAN FRANCISCO,-122.45302,37.774872,35,42,313,3
ANTHONY JONES,OAKLAND,-122.26528,37.817833,18,104,15208,9
ANIT B. PATEL,FAIRFIELD,-122.04742,38.256657,15,23,2256,8
